"filename", "language", "TypeScript", "JSON with Comments", "JSON", "Properties", "vue", "JavaScript", "Markdown", "comment", "blank", "total"
"/Users/schamberland/Desktop/x404/AstraeusBot/.env", "Properties", 0, 0, 0, 1, 0, 0, 0, 2, 0, 3
"/Users/schamberland/Desktop/x404/AstraeusBot/docs/package.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"/Users/schamberland/Desktop/x404/AstraeusBot/docs/src/.vuepress/components/Foo/Bar.vue", "vue", 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"/Users/schamberland/Desktop/x404/AstraeusBot/docs/src/.vuepress/components/OtherComponent.vue", "vue", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/schamberland/Desktop/x404/AstraeusBot/docs/src/.vuepress/components/demo-component.vue", "vue", 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"/Users/schamberland/Desktop/x404/AstraeusBot/docs/src/.vuepress/config.js", "JavaScript", 0, 0, 0, 0, 0, 47, 0, 19, 5, 71
"/Users/schamberland/Desktop/x404/AstraeusBot/docs/src/.vuepress/enhanceApp.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 6, 2, 15
"/Users/schamberland/Desktop/x404/AstraeusBot/docs/src/config/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 6, 16
"/Users/schamberland/Desktop/x404/AstraeusBot/docs/src/guide/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 3, 6
"/Users/schamberland/Desktop/x404/AstraeusBot/docs/src/guide/using-vue.md", "Markdown", 0, 0, 0, 0, 0, 0, 5, 0, 5, 10
"/Users/schamberland/Desktop/x404/AstraeusBot/docs/src/index.md", "Markdown", 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"/Users/schamberland/Desktop/x404/AstraeusBot/package-lock.json", "JSON", 0, 0, 994, 0, 0, 0, 0, 0, 1, 995
"/Users/schamberland/Desktop/x404/AstraeusBot/package.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"/Users/schamberland/Desktop/x404/AstraeusBot/src/config/bot.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 2, 1, 9
"/Users/schamberland/Desktop/x404/AstraeusBot/src/config/plugins.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/schamberland/Desktop/x404/AstraeusBot/src/events/ready.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/schamberland/Desktop/x404/AstraeusBot/src/index.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 2, 4, 18
"/Users/schamberland/Desktop/x404/AstraeusBot/src/managers/PluginManager.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 1, 7, 36
"/Users/schamberland/Desktop/x404/AstraeusBot/src/plugins/XP/plugin.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/schamberland/Desktop/x404/AstraeusBot/src/structure/AstraeusClient.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/Users/schamberland/Desktop/x404/AstraeusBot/src/structure/AstraeusPlugin.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 7, 9, 69
"/Users/schamberland/Desktop/x404/AstraeusBot/src/utils/BotUtils.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/schamberland/Desktop/x404/AstraeusBot/src/utils/PluginUtils.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/schamberland/Desktop/x404/AstraeusBot/tsconfig.json", "JSON with Comments", 0, 33, 0, 0, 0, 0, 0, 0, 0, 33
"Total", "-", 152, 33, 1032, 1, 31, 54, 33, 39, 65, 1440